127.0.0.1 - - [01/Sep/2021:10:04:17 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:32 +0700] "GET /web_ex_crud/QuantityPlusFromCart?wID=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:32 +0700] "GET /web_ex_crud/Cart.jsp HTTP/1.1" 200 13219
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:32 +0700] "GET /web_ex_crud/QuantityPlusFromCart?wID=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:32 +0700] "GET /web_ex_crud/Cart.jsp HTTP/1.1" 200 13220
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:33 +0700] "GET /web_ex_crud/QuantityMinusFromCart?wID=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:33 +0700] "GET /web_ex_crud/Cart.jsp HTTP/1.1" 200 13219
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:34 +0700] "GET /web_ex_crud/QuantityPlusFromCart?wID=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:34 +0700] "GET /web_ex_crud/Cart.jsp HTTP/1.1" 200 13220
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:39 +0700] "GET /web_ex_crud/listwaifu HTTP/1.1" 200 17722
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:43 +0700] "GET /web_ex_crud/listWaifu_AgeGoingUp HTTP/1.1" 200 17722
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:46 +0700] "GET /web_ex_crud/listWaifu_AgeGoingDown HTTP/1.1" 200 17722
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:50 +0700] "GET /web_ex_crud/listWaifu_TypeLoli HTTP/1.1" 200 16702
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:54 +0700] "GET /web_ex_crud/listWaifu_TypeBB HTTP/1.1" 200 13747
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:05:58 +0700] "GET /web_ex_crud/listwaifu HTTP/1.1" 200 17722
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:06:02 +0700] "GET /web_ex_crud/sortByPriceUp HTTP/1.1" 200 17722
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:15:17 +0700] "GET /web_ex_crud/manage HTTP/1.1" 200 16982
0:0:0:0:0:0:0:1 - - [01/Sep/2021:10:15:24 +0700] "GET /web_ex_crud/listwaifu HTTP/1.1" 200 17722
